X_0_0,X_0_1,X_0_2,X_0_3,X_0_4,X_0_5,Y_0_0,Y_0_1,Y_0_2,Y_0_3,Y_0_4,Y_0_5,decay_0,decay_1,decay_2,W_0,W_1,W_2,J_0,J_1
0.616,0.752,0.552,0.608,0.576,0.512,-0.44,0.112,0.28,-0.504,0.216,0.392,0.47677801761204486,0.47871973662584827,0.2411479296158566,-0.9659722749713158,-0.3248102417452925,0.8128757766917794,0.08940598007664576,-1.2382139275859196
0.64,0.728,0.72,0.688,0.616,0.688,0.432,-0.184,0.104,0.416,0.112,-0.352,0.4166700233182782,0.42822643015110506,0.34412786389472905,-0.13930458313940622,0.2416748507624774,-0.7147906880126492,0.5961613373883418,0.4870852968432263
0.8,0.512,0.664,0.8,0.776,-0.008,-0.12,0.616,0.44,-0.16,-0.12,0.736,0.3707768733877802,0.29602816211256333,0.3437436217335217,-0.7326339285634201,-1.0321539905166368,0.03372567535495461,-0.9158641095549315,0.21341710116298798
0.488,0.616,-0.112,0.408,0.344,0.616,0.6,0.344,0.584,0.576,0.648,0.0,0.5510834031496519,0.37235278900742985,0.3364183407734593,-2.0258298956526843,-0.5825837719907502,-1.1743110036659468,1.8615901094475373,-0.29072354942473816
0.32,0.096,0.72,0.424,0.672,0.544,-0.696,0.696,-0.456,-0.792,0.176,0.688,0.2560898408701041,0.3474489461322519,0.27617223217838377,0.8582704196334929,-1.8429824463971018,1.3582948191324093,-1.9582897426611725,-1.8259338363859663
0.88,0.624,0.616,0.808,0.68,0.76,0.136,-0.512,0.376,0.088,-0.408,0.192,0.4564735097691363,0.305955884200691,0.2972499626050601,-0.9546501490840683,0.8856383135299684,-0.16464489706195123,0.6932960985114911,0.8508740875622579
0.52,0.208,0.12,0.432,0.848,0.136,0.576,0.832,-0.648,0.456,0.112,-0.56,0.5083054815407766,0.25878103883338716,0.35903943901155505,1.4958968854165922,-1.6810349979896437,-0.9046348483443455,0.12726445783349793,0.9059759873261037
0.392,0.712,-0.032,0.328,-0.752,0.144,0.584,0.08,0.728,0.656,0.344,0.648,0.39616141521791787,0.3788220420455758,0.45200305062465657,-2.0209739736134256,-0.10755143043035122,-1.210415810952343,0.16040830938861747,-2.28343240398397
0.576,0.712,0.648,0.6,0.392,0.28,0.424,0.256,0.552,0.456,0.608,0.744,0.3116535562171161,0.326492957139783,0.4267918465213229,-0.9589859955287983,-0.3299367424779558,-0.7963322825737352,-0.5928277392267667,-0.19829633548594675
-0.568,0.816,0.704,-0.472,-0.8,0.68,-0.536,-0.184,0.088,-0.432,-0.168,0.04,0.40546228240016247,0.24748051216360828,0.5289015116989545,-0.15578635996660312,0.35684284949973005,2.9249837252530955,-0.03387147935197888,0.8454545303248906
0.728,0.856,0.48,0.736,0.672,0.368,0.112,0.528,0.432,0.064,0.648,0.52,0.46700601340839476,0.08221242436968135,0.43343553875284224,-1.0276988713908208,-0.7070296995278637,-0.09129437103164549,-0.22722176192376498,-0.8550751791482942
0.624,0.368,0.664,0.592,0.664,0.832,-0.464,0.528,-0.488,-0.392,0.04,0.032,0.3081626047083695,0.5659308168324649,0.31267596536976877,0.72512306171377,-1.3469554804582473,0.7195162806912101,-0.7738843398846198,-0.7041154972037827
0.656,0.88,0.088,0.632,0.672,-0.264,-0.088,0.336,-0.696,-0.04,0.552,-0.712,0.4226973385456886,0.17629952738674504,0.523264739843383,1.9710865452719182,-0.28894044679100134,0.0965913157288892,0.25629559194653867,-0.9035485873431679
0.296,-0.12,0.608,0.192,0.584,0.568,0.752,0.92,0.088,0.752,0.648,0.016,0.782662991619313,0.10579864325113492,0.3257433777141923,-0.24560905120185025,-2.0627883641359057,-1.6852202746043516,0.106367722789346,0.7142447251413387
0.68,0.608,0.696,0.656,0.728,0.832,0.048,-0.448,0.472,-0.032,0.424,-0.24,0.24327298084137475,0.3490050594676875,0.4411326924276012,-0.7452408288889835,0.6191246508220322,-0.050058432937357275,1.0424147943959716,-0.6136096745635479
-0.312,0.704,0.664,-0.352,-0.672,0.064,-0.472,0.072,0.296,-0.456,-0.168,0.72,0.4558915015513235,0.44518872790916875,0.6365385065153558,-0.544598541787009,-0.05408219560561452,2.706911342624894,-1.2542655134557321,0.9305924117694618
0.136,0.616,0.52,0.088,0.064,-0.048,0.616,-0.392,-0.52,0.544,0.792,-0.712,0.3809465084093503,0.3556989755086267,0.5695560518332411,0.9874870356082617,0.6756270680651447,-1.7765946890022348,1.0519667539430124,-0.04647249217960706
0.888,0.464,0.224,0.816,0.504,-0.216,0.248,-0.704,-0.84,0.16,0.72,-0.888,0.1874352777796944,0.2045684002003329,0.20080800472022764,1.6924536797587881,1.196357116443194,-0.36956036365745476,0.521260073097395,-0.7984299423723072
0.616,0.624,-0.248,0.64,0.656,0.064,0.184,0.416,0.64,0.328,0.416,0.712,0.4596740589124352,0.31188315988505716,0.43403664367769834,-2.540265800336812,-0.6980526222081913,-0.5787172475684416,0.4582183232492684,-0.11114414863157156
0.536,0.664,0.672,0.64,0.448,0.776,0.304,0.216,0.48,0.368,0.448,-0.04,0.26397544131157535,0.46960461690658006,0.5495418767638502,-0.7548156142884282,-0.3645607108129105,-0.5634682312288128,0.9190084021455477,-0.38715775422911763
0.344,0.816,0.856,0.2,0.144,0.192,0.816,0.152,-0.344,0.76,0.752,-0.872,0.17143950283241516,0.2389071246453665,0.21975218974651975,0.3233965607565243,-0.16646380928351648,-1.5371825866501507,1.3659686083551186,-0.18588466938439618
0.64,0.496,0.512,0.776,0.776,0.224,-0.248,0.672,-0.384,-0.232,0.032,-0.584,0.4310378546249182,0.3518089745767551,0.33121625094142837,0.8213272971144252,-1.1873140681177494,0.2940572171105864,0.8615815018574537,-0.3786073960226277
0.696,0.6,0.44,0.672,0.12,0.592,0.496,0.08,0.392,0.472,0.6,-0.04,0.5736349647249648,0.6269060697526224,0.218616223968008,-0.8799391287886983,-0.35290982023082657,-0.8116985803937165,0.9355753735390288,-0.8500358950184921
0.384,0.8,0.744,0.4,-0.048,0.728,0.44,0.12,0.048,0.48,0.824,0.096,0.39527251920881096,0.34105642543063014,0.562679069216651,-0.08797384651312182,-0.11901855014216657,-1.0966767666044663,0.0006916622599999132,-0.9019838874806793
0.688,0.128,0.776,0.648,0.664,0.664,-0.328,0.752,0.232,-0.392,0.512,0.216,0.41055929124571405,0.293651569954611,0.41569726265899515,-0.31121156962419433,-1.7124338064678835,0.5730599299147664,-0.013407825850556856,-1.4977208209205959
0.616,0.656,0.608,0.488,0.536,0.552,-0.328,0.504,-0.336,-0.368,-0.448,-0.44,0.30572259481190656,0.2770402838606262,0.49653828273873823,0.6078213499223033,-0.7951269287992039,0.6576668014659262,0.23935455846804604,0.03754553576159002
0.72,0.568,0.704,0.808,0.16,0.696,0.232,0.032,0.128,0.376,-0.48,0.28,0.332600217709784,0.8125654695883067,0.295371279594052,-0.44170472592805154,0.10944762824955466,-0.501042157728234,0.10052547628538393,2.0845259972881394
0.608,0.36,0.464,0.64,0.832,-0.088,-0.384,-0.744,0.504,-0.408,-0.104,0.72,0.41953502404614873,0.23399096518137605,0.42498574445125253,-0.9502237549023012,1.3848789455946864,0.6567367104871049,-1.3099987004028069,-0.5361928095860272
0.648,0.672,0.712,0.576,0.056,0.56,-0.288,0.032,-0.008,-0.184,-0.76,-0.472,0.3383741613873034,0.5368226042018585,0.49387768397020326,0.06604675528598837,-0.04114718427593167,0.5720142320239564,0.8442447249543489,1.3196381216741728
0.336,0.536,0.68,0.272,0.592,0.568,-0.512,0.336,-0.232,-0.56,-0.272,-0.432,0.5369654567582837,0.4597016436258793,0.48746631914209404,0.4101846687560735,-0.7781725579034854,1.364634819516751,0.468857837589412,-0.7558776976128174
0.808,0.536,0.736,0.784,0.72,0.032,0.208,0.696,-0.136,0.344,-0.432,0.752,0.2794263303048641,0.19006259790463176,0.20390857415243716,0.28901917600581145,-1.1780298208125775,-0.34194750146139347,-2.167528581511803,0.9155909658821428
0.384,0.256,0.792,0.36,-0.12,-0.008,-0.752,0.584,0.144,-0.784,-0.616,-0.808,0.3599693199462225,0.5843680239821503,0.24925791251390594,-0.09806596738714114,-1.517890825663834,1.4248430365450628,1.8737930589361818,0.7933296532841249
0.568,0.696,-0.024,0.56,0.264,0.088,-0.128,0.128,0.608,-0.224,-0.592,0.552,0.7867172517209144,0.4550713242762465,0.5116496617759255,-2.0254374749519024,-0.28078087065478313,0.3559280991263277,0.29306427401738366,0.8892323325510135
0.384,0.656,0.704,0.36,0.552,0.752,0.56,-0.128,-0.048,0.608,0.544,0.176,0.4343595011960786,0.44110463932569777,0.384394177492541,0.028833597749859583,0.5345841255007925,-1.2670805269453176,-0.19691443373494763,0.2627465527582266
0.68,0.688,0.504,0.728,0.224,0.392,-0.032,0.304,0.632,-0.008,0.688,0.68,0.2782125826701484,0.4964251480581469,0.44219992966808847,-1.0796605064657379,-0.45676539995197535,0.11104380600535797,-0.3547826055718542,-1.7579679649667794
0.424,0.288,-0.464,0.376,0.088,-0.144,0.76,-0.616,-0.6,0.728,0.656,-0.768,0.3406372425296471,0.43630587010584265,0.24872024630470638,2.8004825770337036,1.265540413804366,-1.334909545170635,-0.44445566741345044,-0.3916843180089455
0.672,0.6,0.76,0.608,0.144,0.184,-0.072,-0.328,0.408,-0.08,-0.616,0.824,0.2299934908945382,0.5676870709112896,0.5288659163707692,-0.6286760601228465,0.5287130457662854,0.31832355637089926,-1.2825806488316625,1.1749954068112254
0.856,0.608,0.64,0.808,0.568,-0.064,-0.048,0.328,0.432,-0.064,-0.224,0.712,0.346147861516087,0.4572461671943397,0.30135411611623325,-0.8121712116251374,-0.6516020504718842,0.005050318614112636,-1.208106692429417,0.6166240625406861
0.552,0.688,0.536,0.616,0.64,0.752,-0.424,0.192,0.488,-0.408,0.304,0.432,0.36525412128892365,0.44926145959829256,0.34670869716326885,-0.8725716049173066,-0.2559242579263876,0.8742244474707048,0.22025012644360273,-1.341845023392721
0.608,0.6,0.84,0.6,0.448,-0.096,-0.08,0.16,-0.112,0.032,-0.448,-0.8,0.2839615711185788,0.5390502941466349,0.4509053781937163,0.2999703489082315,-0.3601291725199398,-0.03821110427771665,1.659901947023286,1.005728986037735
