X_0_0,X_0_1,X_0_2,X_0_3,X_0_4,X_0_5,Y_0_0,Y_0_1,Y_0_2,Y_0_3,Y_0_4,Y_0_5,decay_0,decay_1,decay_2,W_0,W_1,W_2,J_0,J_1
0.84,0.6,0.36,0.84,0.6,0.52,0.2,-0.36,0.12,-0.28,-0.44,-0.36,0.514057266861067,0.48643145365567214,0.3005904689480928,-0.8067613036382074,0.023385094285688305,0.30542814990172895,1.220679659709759,0.6846702781198692
0.84,0.92,1.0,0.52,-0.04,0.68,0.76,-0.6,-0.04,0.84,1.0,-0.52,0.3268652906018276,0.14787600435506032,0.17333845880090137,0.3236722653242128,0.6468348390078704,-1.2720833922340338,0.285465986587471,-0.6406234202304628
-0.12,0.92,-0.04,0.6,-0.2,0.28,0.84,-0.12,-0.44,0.84,0.92,-0.92,0.5525723313889573,0.31342169792786345,0.23839653687732248,2.0682407745280296,-0.21699902950834232,-1.3286860781819838,-0.8711455566086944,-0.9228315880844666
0.44,0.6,0.52,0.76,0.68,0.68,0.12,0.12,0.6,0.04,-0.04,0.12,0.3997128911786428,0.3684897420815084,0.37926529994638875,-0.7570974199599037,-0.5457225561908796,-0.30540123127554036,0.01956930936776847,0.6916776531041025
0.6,0.2,-0.12,0.2,0.76,-0.28,0.52,0.76,-0.68,0.76,0.2,-0.44,0.3733360251645314,0.5090196397026189,0.3953013251931966,2.1369037408816642,-1.5479624512930676,-1.102772422189991,-0.14229344353593174,1.14910178934782
0.68,0.2,0.2,0.6,0.2,0.68,-0.12,-0.04,-0.28,0.36,-0.6,-0.28,0.40448696099257386,0.6447832648791765,0.5320308747672284,1.2716981474980857,1.236800603832961,0.04928627303098685,-0.6467683934561748,1.367111691942233
0.68,0.68,0.52,0.84,0.52,0.92,-0.2,0.28,-0.12,-0.12,-0.28,-0.2,0.3815085036033402,0.48814364252102976,0.3587767749507731,0.4688749455259666,-0.6897800608982881,0.39802827680052705,-0.0004974756531286115,0.5048731270908716
0.36,0.76,-0.6,0.68,0.68,-0.76,-0.04,-0.84,-0.36,-0.52,-0.28,-0.12,0.28218170442114315,0.250912013624384,0.5241072816216127,3.070009211602503,0.981711669167244,0.5930642112775997,1.274828673329329,-0.07759563101420815
0.44,0.28,0.2,0.2,0.44,-0.28,0.04,-0.36,0.76,0.44,-0.2,0.28,0.5512623882063119,0.7528832564911156,0.538098877440926,-1.5408090287855012,0.9084299768323054,-0.6442538366513895,-0.7703660007795048,1.745449064890471
0.52,0.68,0.28,0.52,0.76,0.52,-0.2,0.44,-0.52,-0.44,-0.04,-0.04,0.7833059229257916,0.38145182362831687,0.513029784911011,1.1838491766996364,-1.0980597014652607,0.8476625350775322,-0.9139302703615244,-0.43305587250381844
