X_0_0,X_0_1,X_0_2,X_0_3,X_0_4,X_0_5,Y_0_0,Y_0_1,Y_0_2,Y_0_3,Y_0_4,Y_0_5,decay_0,decay_1,decay_2,W_0,W_1,W_2,J_0,J_1
0.15024,0.77848,0.63128,0.1456,0.09704,0.44512,-0.81664,0.30448,0.3324,-0.81424,-0.8248,0.55232,0.42580209749902453,0.2308701753915846,0.22753840389607258,-0.6142280604610584,-0.45285238173430686,1.738126907011781,-0.5227826171978874,0.07426965058778418
0.47728,0.68264,0.73496,0.47928,-0.75184,0.35752,0.56184,0.43224,0.2116,0.56808,0.31416,0.67432,0.3355124071398734,0.2569815103214289,0.37946681046819347,-0.3579345922618907,-0.7019839572810067,-1.0836014800294962,-1.0071804776056217,-2.362019739260841
0.5484,0.566,0.79912,0.55288,-0.00048,0.67808,-0.20528,0.37952,0.03448,-0.21552,0.69096,-0.42224,0.28249278370743836,0.4814384171069666,0.6506430267449027,-0.05519432513727506,-0.7299358591537476,0.45295777867192033,0.7425878661141436,-2.4108107589251455
0.8192,0.8044,0.32384,0.81304,0.5536,0.58496,0.046,-0.32192,0.65432,0.06112,0.66608,0.43496,0.39544422073767777,0.1686784348822068,0.2507734564179343,-1.3959963532960695,0.4811520327460816,-0.07169206403558268,0.6107568432455484,-1.0279587421924876
0.43032,0.52616,0.662,0.43552,-0.6256,0.63152,-0.48464,0.52448,-0.32032,-0.4868,-0.41352,-0.39752,0.37958340929709816,0.3744967107640751,0.5357170892296315,0.5665941150765861,-0.9826900442545515,1.056303064338255,0.13076243998015705,2.127430535337498
0.66072,0.51672,0.2264,0.65784,0.54456,0.47704,0.3208,-0.24808,-0.64896,0.31176,-0.17776,0.50208,0.4748429255460271,0.6953077252383529,0.39305808993062846,1.5504546415072764,0.5704943135287872,-0.5548952300064441,-2.564090034860227,0.9648403654527539
0.77616,0.48432,0.6848,0.77976,-0.09752,0.6584,0.18696,0.50392,0.2152,0.19192,-0.69688,0.25736,0.4258875240690284,0.4383059041900176,0.27883318662104006,-0.3710081667798519,-1.0110656931643482,-0.28969569835120373,-0.1138524719083226,2.421492039214959
0.58352,-0.1044,0.70728,0.58304,0.72384,0.69112,-0.30568,-0.71256,-0.27408,-0.29696,0.01848,-0.29992,0.3430312191372803,0.4080746482746603,0.5216772463393202,0.47099833308473293,2.126165841372556,0.5936133370910365,0.0311641090597336,-0.6307694193287801
0.14272,0.63072,0.59224,0.13776,0.63456,0.1424,0.71088,-0.5144,-0.23592,0.70616,0.51704,0.6236,0.563813827803815,0.2511932038622047,0.4050917141479282,0.45425091508557286,0.8546125188184132,-1.7287163197155213,-2.148117579256832,0.868716584194763
-0.12912,0.2872,0.59904,-0.13624,-0.04168,0.66664,-0.82592,0.6376,-0.31656,-0.82672,-0.7064,0.09152,0.4998855860226985,0.43489858144652865,0.22519018822302977,0.6108398950658027,-1.4480768086604632,2.16825380055562,-0.7938561102531932,-0.12572975878671672
0.48784,0.6256,0.58312,0.4844,0.60288,0.6664,-0.51416,0.21008,-0.37136,-0.51336,0.27952,-0.21088,0.46032053998595496,0.5168837905984867,0.4314590043490276,0.7267323854541344,-0.4282971298709599,1.0136740412690521,-0.3250899027637216,-1.5536499854489005
