X_0_0,X_0_1,X_0_2,X_0_3,Y_0_0,Y_0_1,Y_0_2,Y_0_3,decay_0,decay_1,W_0,W_1,J_0
0.9128,0.4944,0.9128,0.4944,0.1384,0.0224,0.1384,0.0224,1.7565054356538425,0.2047195967185167,-0.08118596310141563,-0.41396106989054043,0.5311324473405625
0.6104,0.4992,0.6104,0.4992,0.3384,-0.0984,0.3384,-0.0984,1.795903641126156,0.9014238961315668,0.4885127278655732,-1.2938982701254762,-0.39547097971428263
0.9144,0.6032,0.9144,0.6032,-0.2136,0.0976,-0.2136,0.0976,1.1661496876448982,0.1633020332984615,-0.2971083600664824,0.5359532133463043,-0.9480467423754892
0.8544,0.484,0.8544,0.484,-0.1432,-0.2848,-0.1432,-0.2848,1.409592227949484,0.3477622746513295,1.3949243843860692,0.42065713167223073,0.5634263751554068
0.8048,0.7184,0.8048,0.7184,-0.0016,0.0096,-0.0016,0.0096,0.8220393785254438,0.54971449341601,-0.029325112707701002,0.06316141761141743,-0.4320025234070621
0.6904,0.6352,0.6904,0.6352,-0.12,0.1288,-0.12,0.1288,1.0700140090712473,0.9498451623639118,-0.3027625104790362,0.5049796054033775,2.187870296224785
0.516,0.4888,0.516,0.4888,0.0328,0.3952,0.0328,0.3952,1.0477444038008117,1.537009704585558,-1.5435223241812417,-0.2766119711092711,0.8868724855344343
0.496,0.5872,0.496,0.5872,0.3944,-0.0288,0.3944,-0.0288,1.4668543237315914,1.185822932896855,0.32070901905971255,-1.6624904788517778,-0.3298718952596926
0.6288,0.5488,0.6288,0.5488,0.512,-0.3248,0.512,-0.3248,1.0626151525444198,0.4902024037272431,1.3670016601775263,-1.6520011042938778,-1.0437020282475993
0.656,0.7416,0.656,0.7416,-0.0648,0.2168,-0.0648,0.2168,0.6431674464773185,1.1005287705883802,-0.6507879681003921,0.24671956287909705,0.28410504054335745
0.556,0.4912,0.556,0.4912,0.2408,-0.076,0.2408,-0.076,1.6904597787648816,1.2878992090679113,0.20003004449356487,-0.9029145902162747,1.4741280377172914
0.4568,0.8128,0.4568,0.8128,-0.1272,0.1704,-0.1272,0.1704,0.5106406043839804,1.919140987299865,-0.5289558382450852,0.7587689483581644,-0.9715019350229114
0.5184,0.5448,0.5184,0.5448,0.2448,-0.1928,0.2448,-0.1928,1.2757009955633856,1.3455209686029161,0.9437706323827273,-1.07688934324857,0.622736454364147
0.72,0.7376,0.72,0.7376,-0.0392,-0.0848,-0.0392,-0.0848,0.7344507074297292,0.8835207580229552,0.2417742523198719,0.08459144038963434,-1.103064548892049
0.9016,0.8312,0.9016,0.8312,-0.0392,0.0824,-0.0392,0.0824,0.45643869562794626,0.24860124390881444,-0.30198874214427296,0.06025522791727757,0.8650250363989145
0.6408,0.5944,0.6408,0.5944,0.1336,-0.0336,0.1336,-0.0336,1.2881093586860122,1.033139754297387,0.10782276582563177,-0.5776195801657917,-1.9754733224992391
0.7096,0.7352,0.7096,0.7352,0.172,0.1064,0.172,0.1064,0.7804648620788766,0.8138834055440038,-0.32743636931229014,-0.5495431302656891,0.3486467097279347
