X_0_0,X_0_1,X_0_2,X_0_3,Y_0_0,Y_0_1,Y_0_2,Y_0_3,decay_0,decay_1,W_0,W_1,J_0
0.8,0.5,0.8,0.5,-0.1344,-0.0648,-0.1344,-0.0648,1.6872527786136948,0.5821519824212373,0.28543288161131447,0.36023151901359574,-0.26298025913268375
0.5536,0.5744,0.5536,0.5744,0.0576,-0.216,0.0576,-0.216,1.2875436737932908,1.5118836584419164,0.8980078484306177,-0.14020942782401818,-0.2742611819879811
0.6504,0.7288,0.6504,0.7288,-0.1552,-0.104,-0.1552,-0.104,0.7572335155028533,1.028754899234488,0.3196171157250029,0.7012682302021999,0.6413335595514955
0.576,0.7232,0.576,0.7232,-0.3568,-0.3888,-0.3568,-0.3888,0.4840919602066046,0.999898787641653,1.1964606798375848,1.3808108116145745,0.1659668764864165
0.476,0.6504,0.476,0.6504,-0.2008,-0.1672,-0.2008,-0.1672,1.1091261678954425,1.5804590568205699,0.6144743453125047,0.9898329038261664,1.1711860039768394
0.692,0.6424,0.692,0.6424,-0.096,-0.0608,-0.096,-0.0608,1.1604080842587108,0.8733348199087932,0.19617519130711822,0.38526716055219495,-0.33671543468462817
0.6304,0.5808,0.6304,0.5808,-0.0208,-0.1744,-0.0208,-0.1744,1.2806280996661439,1.1060229329748528,0.8728080185485745,-0.01974822953137527,1.1130689785915693
0.5624,0.5768,0.5624,0.5768,-0.0696,-0.1944,-0.0696,-0.1944,1.2360094513435556,1.371144693295944,0.8654807491224185,0.1568446931509735,-0.7427106242030459
0.4856,0.4136,0.4856,0.4136,-0.1088,-0.2224,-0.1088,-0.2224,1.7854579279562892,1.6794826792633932,1.1935710810843905,0.7376846035214669,-0.4601544505619476
0.2872,0.7096,0.2872,0.7096,-0.424,-0.0656,-0.424,-0.0656,0.9246461254892053,1.6655096771078997,0.3227314835079557,2.5591651734280068,0.7124244339149493
0.6752,0.46,0.6752,0.46,0.2072,0.3488,0.2072,0.3488,1.2549323822903187,0.9032116740949373,-1.736221528045863,-0.742313877554905,-0.30270486899818644
0.4328,0.6264,0.4328,0.6264,0.56,-0.3312,0.56,-0.3312,0.761380659718377,0.7870533792235735,1.2549862612227443,-2.247586545240754,-0.021713871279396082
0.5192,0.576,0.5192,0.576,0.2896,-0.24,0.2896,-0.24,1.1429906513407597,1.2369976258724256,1.080791518373452,-1.3447001626368524,-0.1170437737254316
0.4912,0.6448,0.4912,0.6448,0.4584,-0.3192,0.4584,-0.3192,0.9379763049797214,0.9876802771198981,1.1348828732752276,-1.8707332897186977,0.30146442299524784
0.6256,0.4208,0.6256,0.4208,-0.4152,0.3768,-0.4152,0.3768,1.4027122118671462,0.804322489808083,-1.88810133517477,1.4157764812693723,0.3954257943079102
0.56,0.528,0.56,0.528,-0.1624,-0.4248,-0.1624,-0.4248,0.9780219063685154,1.3773043604325665,1.6194044651812296,0.6446815949966301,0.25705973045600006
0.4392,0.3912,0.4392,0.3912,0.3464,0.2624,0.3464,0.2624,1.8999427817514416,1.4529516766657447,-1.3361487735881679,-1.648917589351127,2.0426821431335838
0.588,0.72,0.588,0.72,-0.0632,0.1048,-0.0632,0.1048,0.8621593112929373,1.190967279838943,-0.3227156871357332,0.2611619431555233,-0.12400699824149572
0.5272,0.6856,0.5272,0.6856,0.284,0.0776,0.284,0.0776,0.928239328132864,1.448208518301981,-0.27215757689313885,-1.3718083881122174,2.2689531476324234
0.548,0.5088,0.548,0.5088,0.1408,-0.352,0.1408,-0.352,1.1735254536974806,1.4028732898996161,1.5274582435967323,-0.608927505715414,0.024629620264032835
0.6488,0.432,0.6488,0.432,-0.0592,-0.1512,-0.0592,-0.1512,1.7713569823974584,1.0779751166305946,0.8756832416478958,0.15564759583919877,1.6737530593471228
0.5824,0.6576,0.5824,0.6576,-0.0248,0.2448,-0.0248,0.2448,0.8874362988285924,1.3789148168678171,-0.8501396103730355,0.17824268660866172,-0.30729333609358794
0.8472,0.8008,0.8472,0.8008,-0.2984,-0.0896,-0.2984,-0.0896,0.5040806700904229,0.2817330393423778,0.25643869477215653,0.8405768355921671,-0.4276015176943738
0.3984,0.8584,0.3984,0.8584,0.3936,-0.0496,0.3936,-0.0496,0.37337746200890165,1.4714520785945848,0.1581930517425942,-1.9118129576261518,-0.2269809730087724
0.5384,0.5472,0.5384,0.5472,-0.1944,0.1056,-0.1944,0.1056,1.3735012545322534,1.446518206061439,-0.39225685838528446,0.8208790506107708,0.5217319914889235
0.4376,0.524,0.4376,0.524,-0.4184,0.1328,-0.4184,0.1328,1.7089383942457217,1.2326472365573726,-0.6400834436675817,1.8953284747134755,0.18054199629102777
0.5744,0.5512,0.5744,0.5512,-0.032,-0.18,-0.032,-0.18,1.4336192745109204,1.442901850418325,0.997526528452109,0.19926145900107697,0.5621047818059116
0.484,0.7856,0.484,0.7856,-0.2696,0.1568,-0.2696,0.1568,0.5215324731980656,1.403941966137186,-0.5846649364238241,1.3542377939499874,-1.0476741696949718
0.692,0.6816,0.692,0.6816,0.0088,0.0128,0.0088,0.0128,1.0573225637175725,0.993832352081035,-0.062361591183222924,0.037634184459101466,0.7160818913361099
0.5224,0.5904,0.5224,0.5904,0.3072,-0.0392,0.3072,-0.0392,1.3879766308857895,1.2902945863187452,0.30203720760316904,-1.4960257709150926,0.7444328512299082
0.6368,0.4448,0.6368,0.4448,0.0128,-0.1304,0.0128,-0.1304,2.024052180872721,1.1119348457404754,0.6344447119890207,0.0023293523915948727,0.32296692689728346
0.7048,0.5144,0.7048,0.5144,-0.088,0.0672,-0.088,0.0672,1.6529138838915505,0.7846096212442685,-0.16757645258995527,0.30247980836433014,-0.7411648502893006
0.6824,0.4376,0.6824,0.4376,0.1072,-0.2216,0.1072,-0.2216,1.7186875248761386,0.9475636797850229,1.255193207492826,-0.31398454716098584,-0.0016665282069669417
0.5232,0.4384,0.5232,0.4384,-0.0312,0.4592,-0.0312,0.4592,1.076983604602127,1.534098581667911,-2.187698464217052,0.12373210282497503,0.46373450950571643
0.5424,0.9888,0.5424,0.9888,-0.2904,-0.1368,-0.2904,-0.1368,-0.2114302051757211,1.2189690101892847,0.40499179522979134,1.2171829825212754,1.3931161696892251
0.6384,0.5216,0.6384,0.5216,0.1016,0.1104,0.1016,0.1104,1.600527474543166,1.015322068860021,-0.6604080932537202,-0.3238083134955221,0.43607246552046314
0.62,0.7056,0.62,0.7056,0.4424,0.1472,0.4424,0.1472,0.7753146679936909,0.6793552282391799,-0.5609549847630955,-1.69677111825462,0.19919113071730082
0.4704,0.616,0.4704,0.616,0.4176,0.344,0.4176,0.344,0.7701760293997313,1.1751498445700734,-1.341168975536087,-1.7799839325911633,1.841442196976946
0.82,0.7464,0.82,0.7464,-0.2624,-0.0392,-0.2624,-0.0392,0.7313241139975091,0.35551327109992326,0.1946203935715548,0.7333154936387323,0.3471019122910477
0.4896,0.72,0.4896,0.72,0.1424,-0.1112,0.1424,-0.1112,0.7730844232485616,1.5363057742957518,0.4786292593520987,-0.7428382287961518,-0.005584176489482503
0.5552,0.6072,0.5552,0.6072,-0.1064,0.3592,-0.1064,0.3592,0.9583594066362555,1.4600805109739396,-1.2954179109580957,0.672115848090098,-0.3803540674990452
0.824,0.7208,0.824,0.7208,0.0928,-0.1032,0.0928,-0.1032,0.8869297305364171,0.4366044634720019,0.16207461849245128,-0.30758485866552004,1.4838801021288917
0.9704,0.4832,0.9704,0.4832,0.2264,-0.1872,0.2264,-0.1872,1.5207796701627672,-0.03599160087873576,0.9060255219003385,-0.6087890331260207,1.5605558691901724
0.716,0.6088,0.716,0.6088,-0.0136,0.236,-0.0136,0.236,1.048110339801739,0.774431571185221,-1.0527514791228505,0.07435161710258262,0.805747294179629
0.9584,0.5192,0.9584,0.5192,-0.0672,0.032,-0.0672,0.032,1.7564551171380365,0.0800791243126645,-0.12390035237933215,0.27638914060192815,0.6228692373465761
0.7136,0.6744,0.7136,0.6744,0.032,0.2568,0.032,0.2568,0.7785313809459555,0.7782517913429623,-1.0320818353944214,-0.0771783221153714,0.37660963596896596
