X_0_0,X_0_1,X_0_2,X_0_3,Y_0_0,Y_0_1,Y_0_2,Y_0_3,decay_0,decay_1,W_0,W_1,J_0
0.492,0.6704,0.7392,0.524,-0.5016,-0.252,0.7192,0.4752,0.44227914833890886,0.4327416506283859,0.48537201579715494,1.0179193461614437,-1.4207507326213742
0.0968,0.5048,0.6648,0.4792,-0.6144,0.5952,0.6728,0.6576,0.28683797234326436,0.5278421627634908,-1.113661314294098,1.7961186945618621,-0.03772597863738127
0.8272,0.0016,0.8232,-0.628,0.036,0.6688,0.8272,0.1936,0.4905596956843778,0.2362626335271225,-2.0266017758500365,-0.08917557644872118,-1.5549371102882092
0.3928,0.632,0.6656,0.3824,0.5208,-0.136,0.6304,-0.5288,0.5541496791494207,0.5813561491088538,0.24170567003139942,-1.1259622204311976,0.9713497404393471
0.6496,0.7504,0.6624,0.8552,0.0256,0.444,0.624,-0.1808,0.17950347254468196,0.5225687786715096,-0.6916995927263594,-0.011057131219485495,0.957654953413826
0.4536,0.2128,0.7632,0.0384,-0.5624,-0.7024,0.7312,-0.728,0.39381739757524836,0.3682760101260497,1.6025832384421315,1.1141261564256288,0.31253615566637044
0.5312,0.6344,0.748,-0.2904,0.5152,-0.488,0.7416,-0.7352,0.26419160071457354,0.3737591891712801,0.7698935002470447,-0.9315443188888342,1.6481205212669034
0.4848,0.4424,0.7152,0.548,0.5072,0.5368,0.7304,0.4736,0.43025448754116824,0.40694152543254214,-1.0656303269680736,-1.0020004058157603,0.20766094157448978
0.6088,0.5968,0.7264,0.56,-0.3712,-0.0368,0.7576,-0.2472,0.62558988285492,0.37776657009124237,0.06918611576464836,0.714662756333636,0.4320351389683
0.6656,0.6696,0.6952,0.6784,0.092,-0.0032,0.6728,0.0064,0.46935519135758064,0.47527932296093395,0.013238507175405026,-0.22141645889607628,-0.10004550399860294
0.6384,0.356,0.6744,0.8368,-0.2416,-0.7416,0.72,0.028,0.2256979569397452,0.4387517557939469,1.3476751039039285,0.51065160230169,-1.3601688475019222
-0.488,0.6504,0.7104,0.2248,-0.508,0.588,0.6984,0.8416,0.16921984034609272,0.42977300359565784,-0.8804500416002841,2.904431437159564,-0.7711986361625162
0.7072,0.7128,0.7272,0.0736,0.2736,0.0616,0.7384,-0.716,0.4140261394866364,0.3829143610219007,-0.17262764482746878,-0.451409945339419,1.9783609141572498
0.2288,0.5704,0.856,0.5592,-0.836,-0.1816,0.8536,-0.2456,0.6380309370790899,0.19988962373498526,0.3126589065596277,1.6377849655755718,0.20718713633975194
0.536,0.756,0.7912,0.3528,0.568,0.292,0.7984,0.6928,0.29060116705765543,0.281364147958619,-0.4230306895047206,-1.032368813233181,-0.9401562786706364
0.6808,0.892,0.7072,0.9216,-0.1136,0.3104,0.7296,0.2472,0.06854335331080208,0.4304393883508358,-0.4115597216205115,0.19610606996436505,0.09808320740734165
0.6584,0.6184,0.6656,0.6536,-0.1312,0.1952,0.6312,0.0752,0.5392315174437052,0.5025490450198115,-0.34486411848423915,0.23393389516963956,0.16586296631225184
0.712,0.8488,0.7864,0.6088,-0.4032,0.4216,0.7928,0.7384,0.04282710766639414,0.28672268791310074,-0.6087133817074317,0.6731862483619794,-0.4580027590349952
0.5624,0.68,0.7512,0.1608,-0.476,-0.2184,0.732,-0.6808,0.41847051857971745,0.3739471981634283,0.4248757651739987,0.8792439028306377,1.240646766640291
0.4872,0.7768,0.7384,0.7504,0.5736,-0.1056,0.7264,0.3032,0.2796819822942477,0.3823025595173818,0.1396258904500125,-1.075506391500572,-0.6226062930464263
0.4352,0.7296,0.7632,0.2248,0.6248,0.2568,0.7592,0.784,0.3018444163901071,0.36106333419508146,-0.432660033949223,-1.2242686433489163,-1.2033199777091321
-0.1672,0.3648,0.7264,-0.1616,0.7192,-0.7488,0.7296,-0.82,0.22004604048002374,0.37990858550609835,1.3988064508172386,-2.229421137950176,0.8211391661905784
0.1552,-0.0264,0.8336,-0.0296,-0.8024,-0.6736,0.8352,-0.6808,0.5208916785636242,0.24749045730655303,2.0379620491838972,1.6827316984928447,-0.03506668303157854
0.6408,0.6552,0.7352,0.7768,0.3184,0.5056,0.6992,0.2304,0.26199483238198046,0.37260660116324523,-0.8328138624429215,-0.5864734236451787,0.4569016058771072
0.7776,0.5584,0.7648,0.472,-0.0344,0.1152,0.7552,0.3048,0.6663862969792989,0.32100242111424626,-0.2462983995949855,0.03591011603024235,-0.5045654783229697
0.6616,0.6744,0.788,0.3896,-0.3472,-0.116,0.8208,-0.5584,0.4970707836324119,0.29532324227223955,0.1804656834513307,0.5847414594706897,1.067015421520932
0.5712,0.7832,0.6456,0.5024,0.2912,-0.2464,0.6256,-0.6504,0.27302999242718906,0.5483009774706841,0.3901041127253281,-0.5091830880785401,0.6803967812289681
0.8024,0.6568,0.8464,0.36,0.2408,-0.0944,0.8472,-0.5216,0.5272735786063829,0.21279421159501724,0.1683390098957317,-0.3746231466398123,1.027394239614591
0.8072,0.4976,0.8088,0.7184,0.1416,-0.5488,0.8248,-0.0384,0.3764326148217844,0.2768286397852088,1.0573101594801242,-0.17371449106805353,-0.9754929649746678
0.3504,0.5496,0.8192,0.4936,-0.7168,0.624,0.8248,0.656,0.24736561477043778,0.25647154370174774,-1.016996034473471,1.400432923415635,-0.14802013924106155
0.7824,0.1656,0.8296,-0.5904,0.2928,0.66,0.852,0.416,0.447635352906419,0.2265940276124187,-1.6981107713150005,-0.4293043634604636,-1.4482887720112052
0.6488,0.188,0.6712,0.4848,0.1536,0.6424,0.6456,0.4816,0.513476842264311,0.5383567958478672,-1.5605635534373983,-0.27571232078711644,0.6804032745485405
0.7704,0.3752,0.7592,-0.108,0.0488,-0.492,0.768,-0.6232,0.5816908121761724,0.3294991167230966,1.1302197838199306,-0.03959104152062125,1.0606565754323316
0.7536,0.5984,0.7248,0.6976,0.0784,0.352,0.7232,-0.0104,0.46348060493160337,0.39325983289926697,-0.6465778393436878,-0.12173033154358665,0.677636705895639
0.3352,0.484,0.7136,0.5864,-0.6216,0.3656,0.7024,0.2232,0.5716841768029024,0.4177234336681446,-0.8856063801450967,1.3388213994443363,0.4415428839101564
-0.0096,0.5,0.8312,0.4296,-0.8416,-0.3496,0.8336,-0.4168,0.6541515145943391,0.22719151911098842,0.7479187771853608,1.9823658483939801,0.226079276819141
0.3904,0.56,0.808,0.1568,0.6856,0.532,0.7928,-0.7328,0.3338707479338498,0.27567593340306107,-0.987042428237746,-1.3384501588154079,2.700942824923732
