X_0_0,X_0_1,X_0_2,X_0_3,Y_0_0,Y_0_1,Y_0_2,Y_0_3,decay_0,decay_1,W_0,W_1,J_0
0.4912,0.7784,0.72,0.1576,-0.4648,-0.0336,0.6992,-0.7568,0.3541925376693881,0.46195083631776435,0.024641122966874377,0.9756349898208379,1.6733710593021205
0.0512,0.4936,0.788,-0.4824,-0.7584,0.524,0.7936,0.5712,0.4003299036612354,0.3147041746889375,-1.065514728751001,1.8941911978593038,-1.7616455331029157
0.5928,0.1896,0.8328,0.316,-0.5688,0.6776,0.836,0.6048,0.4465563026257352,0.22343709668356174,-1.634900404658583,0.9618576310627247,0.31742420761125417
0.7752,0.4096,0.7952,0.708,-0.1008,-0.668,0.7832,-0.3184,0.33142030718546267,0.3013052757209549,1.2715404153069914,0.1477345620198746,-0.7514990938696952
0.3864,0.6336,0.716,0.6312,0.6,-0.188,0.6824,0.0712,0.5746003762389094,0.4196154058376621,0.314728402868545,-1.201508354524074,-0.499429733428951
0.3832,0.2456,0.66,0.372,0.484,0.6368,0.62,0.5632,0.49527528544562077,0.5681211944353131,-1.5284064735348555,-1.0978844444581086,0.2665455329629482
0.6944,0.5368,0.8816,0.3672,0.5352,-0.42,0.864,-0.624,0.43081528681675746,0.16815187812086954,0.8538075372847542,-0.8232031722844997,0.4429113727426318
0.2448,0.728,0.8088,0.5928,-0.7672,-0.4816,0.808,0.6608,0.17586031028232332,0.27057456325796503,0.7224776981450127,1.6125251450327784,-1.7755617300868134
0.8016,0.7304,0.792,0.6768,0.02,0.0016,0.8056,0.2824,0.378796100741033,0.28522098968430476,0.010291268347125708,-0.038864133789304735,-0.48828823106031927
0.596,0.5664,0.6096,0.5896,-0.0056,-0.0808,0.6024,-0.008,0.6514016394135808,0.6316150847196591,0.18166683984790147,-0.039312160583809534,-0.1647744836067082
0.5,0.6656,0.632,0.628,-0.4032,-0.1,0.6744,0.2656,0.4843556598394684,0.5165776925687546,0.162961534374896,0.8516534990419397,-0.646426673224449
0.7976,0.1912,0.8,-0.284,0.0304,-0.7256,0.7736,-0.6736,0.37812814270138007,0.29262655751087163,1.691199826628084,-0.06910169424226939,0.772332754846197
0.4664,0.7808,0.6664,-0.2032,-0.48,-0.156,0.6656,0.7624,0.29451652870597106,0.49381427341408257,0.24729241086581816,1.027760085725867,-2.489509941198513
0.784,0.2472,0.796,-0.2056,0.0632,-0.748,0.8152,-0.7584,0.3091262007266452,0.26953949317410825,1.5539577805630729,-0.10282729243340959,0.7142125798159404
0.112,0.5712,0.6696,0.2408,0.672,0.4368,0.7008,0.6256,0.4713284127968599,0.4615523541115681,-0.8217646563896569,-1.7230974032971351,-0.7121295501437506
0.4888,0.7584,0.6744,0.8576,-0.4608,-0.4688,0.7056,0.296,0.13305666972248958,0.4892443820193914,0.6923032868861395,0.9387250129548921,-1.1116993887197364
0.5456,0.6592,0.728,0.7816,-0.4968,-0.4312,0.7088,-0.2152,0.27631898996724824,0.3891886470854302,0.7220576852576746,0.9350001425149721,-0.3918623160171093
0.5472,0.5232,0.7248,0.7152,-0.4584,-0.4256,0.7272,-0.128,0.4536635280223148,0.3885417600456653,0.855682478274349,0.8676091515800676,-0.6497379191975122
0.7192,0.8152,0.7296,0.876,-0.1024,0.2736,0.7128,-0.0496,0.16563174013142273,0.4129276918376773,-0.4531180287637921,0.1377057386582083,0.5368593137691516
0.42,0.6856,0.7152,-0.0968,0.5544,0.3104,0.696,0.768,0.3452598467053549,0.42996029887453113,-0.5232645936935416,-1.1322478561591112,-1.595574644992516
0.3736,0.6592,0.7488,0.5328,0.6456,0.16,0.7464,-0.4112,0.5035461576842197,0.3835589898851923,-0.2839703733850402,-1.3124853331204476,1.0994324544385246
0.7608,0.784,0.7824,-0.0736,-0.1832,-0.2856,0.7816,0.8056,0.26852580667019976,0.3012726414068819,0.39892226020347704,0.24246063261117468,-2.4450243633039004
0.296,0.4752,0.7784,0.4952,0.7056,-0.4808,0.7872,-0.4984,0.4821969815557229,0.32131777009936263,0.972615200648071,-1.4238429275464617,-0.005967979422870909
0.816,0.368,0.8344,0.572,-0.0416,0.5904,0.7976,0.4432,0.44889224841262837,0.24412246245054867,-1.2936013234159667,0.06372005919979135,0.44666636342999366
0.8808,0.1352,0.892,0.5856,-0.2032,0.6384,0.8872,0.2336,0.563728129589258,0.13518464692466697,-1.6930200834916478,0.2812605331628986,1.2470850712948411
0.6504,0.7456,0.7024,0.672,0.0328,-0.0112,0.7104,0.3384,0.37914599996376513,0.4696093141663528,0.037919497063487614,-0.05193719880683646,-0.6050682582067102
0.7392,0.5744,0.7816,-0.4656,0.2376,0.3024,0.776,0.444,0.5946083134538684,0.30358312330029,-0.6356030234472516,-0.3846479883768951,-2.383556572888684
0.6928,0.5952,0.6944,0.544,-0.044,-0.0528,0.7,0.2536,0.6580280114913624,0.4619936744496214,0.060023497260220215,0.10121234489431966,-0.5571196486023389
0.4216,0.6176,0.7128,-0.3,0.584,-0.5232,0.736,-0.7256,0.2891794597590733,0.4139948827279482,0.8859884937062048,-1.195811849310609,1.5834991154128897
0.7552,0.5576,0.768,0.5792,0.0552,0.5744,0.7696,-0.4464,0.3110499743136849,0.3566261914376926,-1.0033019406656671,-0.1315924706043652,1.8265107183719826
0.128,0.696,0.6784,0.7184,0.6776,0.172,0.7216,-0.1512,0.43992116053603203,0.4532730791174427,-0.38471850077340397,-1.7614956327955167,0.5975157123299681
-0.1144,0.5696,0.724,0.54,-0.7008,0.4624,0.7144,-0.5376,0.37364403165355853,0.4243751017823805,-0.8678051598797833,2.1512684851735715,1.8064865672441135
0.6384,0.5576,0.94,0.5248,0.716,0.2272,0.9528,-0.2568,0.6429584795670351,0.06906678471988209,-0.388221721244422,-1.0516825661987472,0.9640799126778141
0.66,0.612,0.772,0.7784,0.4504,-0.4448,0.7688,-0.048,0.33706676371248406,0.32221162400335884,0.7579407366331931,-0.7445670587629003,-0.7255319629875231
0.8312,0.5072,0.8256,0.7328,-0.084,0.5168,0.8072,-0.2104,0.37358434257790313,0.24064530452996521,-1.0285742882827178,0.11882644032942598,1.3848473777851489
0.7792,-0.3288,0.7928,0.012,-0.156,-0.5376,0.7872,-0.6296,0.5420410516322872,0.279024401018118,2.619008332218209,0.25725675261899567,-0.6583792536152244
0.644,0.6024,0.676,0.7808,-0.12,0.5688,0.6464,0.1864,0.2802465209719305,0.5210664752270585,-0.9831807613096273,0.2420814557184274,0.6815318561056091
0.1392,0.6768,0.828,0.6944,0.8312,0.3624,0.8232,0.2968,0.3094100003775809,0.23726629121594348,-0.6237190132233857,-1.7584024065370207,0.06822417632793992
0.668,0.8072,0.6472,0.164,-0.0312,-0.048,0.6472,0.8056,0.23897314506472217,0.5365416813729471,0.08292901657446171,0.027952705378202675,-1.7766285031106115
0.0544,0.0024,0.6848,-0.4144,-0.6944,0.6728,0.7136,0.5064,0.5123237428041559,0.4468751929888182,-1.9181856754391642,1.8296693678319849,-0.9181321320125008
0.5408,0.7864,0.8088,0.7976,0.5952,-0.276,0.8288,0.2312,0.23817393089001593,0.2720140662165865,0.40679072605506084,-1.0256736827938886,-0.723167819911187
0.6416,0.8312,0.692,0.676,0.3208,-0.0944,0.704,0.4824,0.23479711339070825,0.46064924420613085,0.19450096536604589,-0.5729168062424691,-1.050123353717468
0.54,0.5976,0.7032,0.3608,0.4056,0.4168,0.6856,0.6192,0.4217371201309894,0.44884279057394283,-0.6649161060548311,-0.7771880999690863,-0.641907369946391
0.6,0.592,0.5968,0.6272,-0.1792,-0.5888,0.58,-0.508,0.2534252905819807,0.6251327121868956,0.9925796259157558,0.4129081651717627,-0.12146614877426296
-0.0536,0.696,0.7536,0.2856,-0.748,0.0872,0.7744,0.6128,0.49363972429367664,0.3423456440923265,-0.1822139535339114,2.1003219732267673,-1.242664878993393
0.0984,0.2184,0.8864,-0.0176,0.876,-0.784,0.8864,-0.8248,0.2784653800390689,0.15040432727606387,1.6424194564018322,-1.8578819938965325,0.28920925100292666
0.4592,0.3464,0.6816,0.664,-0.5424,0.5904,0.72,-0.1984,0.48555836094010024,0.4543917719548939,-1.2866115799033624,1.0953079228573397,1.6288614712298717
0.7304,0.5352,0.7696,0.5848,-0.0168,-0.4192,0.7304,-0.364,0.4331545757763045,0.3611164093405059,0.8287574902016006,0.03127923701383917,-0.04470438027643386
0.3968,0.8288,0.7,0.7584,-0.5424,0.1712,0.66,-0.4064,0.2069955931196867,0.5131166853496434,-0.29792170303181226,1.1800011199489,0.9180399187125912
0.5896,0.7544,0.7712,0.7144,-0.452,0.2928,0.7936,0.276,0.304916033041724,0.3265687853491919,-0.47530824924653614,0.8174465843301418,0.013500088721854384
0.1208,0.6392,0.6824,0.4976,0.6896,-0.1904,0.6816,-0.4888,0.47044069509687786,0.45499549783478244,0.3322940979385186,-1.7250227222268693,0.5907154363590819
0.6656,0.6984,0.732,0.5896,-0.2712,-0.2384,0.6856,0.4648,0.3824247925021524,0.4085166228903149,0.4380549577957676,0.4839674481208932,-1.2749775418158416
