X_0_0,X_0_1,X_0_2,X_0_3,Y_0_0,Y_0_1,Y_0_2,Y_0_3,decay_0,decay_1,W_0,W_1,J_0,guessed_decay_0,guessed_decay_1,guessed_W_0,guessed_W_1,guessed_J_0
-0.03515625,0.21875,-0.03515625,0.21875,0.22265625,-0.02734375,0.22265625,-0.02734375,2.9018732791738215,3.4365558132057217,-0.7087818070627927,-3.507944407045662,1.6486120555548172,2.446820263314919,2.399879251266656,1.592822769596931,-2.045414041221789,-2.90182683494925
0.138671875,-0.001953125,0.138671875,-0.001953125,0.21875,0.1796875,0.21875,0.1796875,3.085903212447822,2.725610342769774,-1.907018113560844,-1.2464080788574206,-1.8775426468302814,2.36638256478869,1.6333506646513576,-5.14033053185738,-3.8956037746984924,3.7781993734248815
-0.001953125,-0.068359375,-0.001953125,-0.068359375,-0.017578125,0.048828125,-0.017578125,0.048828125,2.6955869400688344,3.105161080846952,4.366111866223474,1.5180351006657034,4.961658476026285,4.385149504994093,6.283185307179585,-6.283185307179585,2.418604374592427,2.80850507474733
-0.0625,0.18359375,-0.0625,0.18359375,-0.13671875,-0.048828125,-0.13671875,-0.048828125,2.9054374664556457,3.069053280931625,-0.6123892601277747,3.2174791187971077,1.620194538609871,2.4819368699025426,2.949715525054213,-1.2657304066148187,2.3561051066391,3.4177856802974325
0.0546875,0.15625,0.0546875,0.15625,-0.236328125,0.150390625,-0.236328125,0.150390625,3.2655632196609967,2.9230650313069706,-0.6134995948130799,2.9414296738147816,-1.0952566595909679,3.1166205218792973,2.8793524590232478,-1.4691614305713219,2.676831185434727,8.060641033477665e-05
0.197265625,0.2265625,0.197265625,0.2265625,-0.140625,-0.033203125,-0.140625,-0.033203125,3.0619592743076653,3.0846521010830745,0.07716606042431647,0.8670542214114385,1.972364805780702,2.435417559025952,2.322533542601461,-1.1076470944236192,-0.14003309961293298,2.7441426161122484
0.0390625,0.076171875,0.0390625,0.076171875,-0.17578125,-0.095703125,-0.17578125,-0.095703125,2.9628287720430992,2.970574973687018,0.5916294682014813,0.7809956980073148,2.821640470878204,3.4548839814373222,2.681428014569403,0.18665984810020012,1.0950374608384832,3.2473553458501367
0.123046875,0.189453125,0.123046875,0.189453125,0.095703125,0.083984375,0.095703125,0.083984375,2.8816188243662273,2.944137664632738,0.5463798037297664,0.042333340848416175,-2.4447247294977443,2.3650780733845,2.9358746064718964,0.7501656826556065,0.23271359235021657,-3.315642293846573
0.212890625,-0.0234375,0.212890625,-0.0234375,0.078125,0.201171875,0.078125,0.201171875,3.091893660714599,3.0196888766484493,-2.9836814481123604,-0.207477120446559,-0.8167208907443388,3.214605866291995,2.9848205124262424,-3.425984220519524,-0.6362608006899018,0.00010576507067706805
0.169921875,0.05078125,0.169921875,0.05078125,-0.076171875,-0.173828125,-0.076171875,-0.173828125,3.0055462649992477,3.0945019853129976,1.229329427591073,0.3410599154612688,2.085240024805213,1.6755188198302051,1.6190495304347146,0.18824186479745317,-1.5277205765901187,4.558406613155436
0.15625,0.1328125,0.15625,0.1328125,-0.16015625,-0.01953125,-0.16015625,-0.01953125,3.3524261464508243,2.996181633780221,0.7775057631542659,1.4887245963229927,-0.5786313441395782,3.442633050226162,2.4064967523517162,-1.407001423648239,0.1313421460543378,2.9192974212954796
-0.04296875,0.029296875,-0.04296875,0.029296875,-0.150390625,0.20703125,-0.150390625,0.20703125,2.6612052187473862,2.849262702189762,-1.0511671309094297,5.957976026795031,-3.410157102815365,1.8122481513357593,2.3928656720727037,-4.894496820461938,1.6635981512471516,4.107844922411596
