X_0_0,X_0_1,X_0_2,X_0_3,Y_0_0,Y_0_1,Y_0_2,Y_0_3,decay_0,decay_1,W_0,W_1,J_0,Gamma_1_0,Gamma_1_1,Gamma_2_0,Gamma_2_1
0.1888,0.4208,0.2304,0.0,0.192,-0.2592,0.1936,0.0,1.492842539846483,0.9464131396381409,-0.9809184229959285,0.719113206724464,0.18997459543719084,0.0001,0.0001,0,0
0.3392,0.3504,0.3072,0.0,0.0416,0.1936,0.2448,0.0,1.217720955699331,1.2091365011892268,-0.18644480077976722,-0.6059579287275015,-0.6956479089403244,0.0001,0.0001,0,0
0.1312,0.2208,0.1072,0.0,-0.3664,-0.408,-0.3504,0.0,1.255996721861868,0.8784506479158162,1.4724997224386789,1.2446644129350737,-0.008144939743377183,0.0001,0.0001,0,0
0.448,0.384,0.3168,0.0,0.2336,0.2288,-0.3744,0.0,0.8794129023636146,1.0457503122805485,-0.48595669341622993,-0.6121787496367805,1.5830964771007856,0.0001,0.0001,0,0
0.6368,0.2304,0.5552,0.0,0.0784,-0.3888,-0.3488,0.0,0.5254321378714009,1.0486953284609797,-0.06417058287648908,1.406528741164543,0.889159826453028,0.0001,0.0001,0,0
