X_0_0,X_0_1,X_0_2,X_0_3,Y_0_0,Y_0_1,Y_0_2,Y_0_3,decay_0,decay_1,W_0,W_1,J_0,Gamma_1_0,Gamma_1_1,Gamma_2_0,Gamma_2_1
0.4528,0.4352,0.1952,0.0,-0.0624,0.0416,0.4272,0.0,1.036352748447252,0.978176256644022,0.14571115942132262,-0.12475099677348642,-1.4546131691412487,0.0001,0.0001,0,0
0.2384,0.3696,-0.1776,0.0,-0.2944,-0.008,-0.2848,0.0,1.3039321551100085,1.2186547907349496,1.2094489441569527,0.052136220337701884,1.544584835622856,0.0001,0.0001,0,0
0.2192,0.5952,0.144,0.0,-0.2608,0.112,-0.2912,0.0,1.359207826610242,0.6343714638957416,1.0664410791549002,-0.2662926196520934,0.37663825199608114,0.0001,0.0001,0,0
0.3472,0.376,0.136,0.0,-0.3888,0.272,-0.4176,0.0,0.8565195338607263,0.893935455407275,1.0858729757653343,-0.748911518341955,0.4830982320583947,0.0001,0.0001,0,0
0.1264,0.424,0.1504,0.0,-0.312,-0.0144,-0.2672,0.0,1.472545487692972,1.1579344260612139,1.322435728392084,0.0897604937620765,0.10028282567776806,0.0001,0.0001,0,0
