X_0_0,X_0_1,X_0_2,X_0_3,Y_0_0,Y_0_1,Y_0_2,Y_0_3,decay_0,decay_1,W_0,W_1,J_0
0.6608,0.644,0.7784,0.3904,-0.3576,-0.3392,0.7712,-0.6688,0.4093833382673617,0.3252495665106779,0.5848579832812493,0.6472351342799395,0.7611166807610233
0.5544,0.5928,0.7384,-0.4776,-0.4784,0.5128,0.7528,0.6352,0.32314481501731573,0.37061723182261536,-0.9315472538943453,0.8766247142598014,-1.8380922623440925
0.6864,0.7712,0.7368,0.5088,-0.1904,0.128,0.732,-0.568,0.31838176834642384,0.40920364995059116,-0.18723499705181415,0.3821886943388508,1.2012737018724013
0.6936,0.9968,0.7144,0.744,0.0344,0.096,0.7144,0.6864,-0.020784060322968145,0.4439026778358948,-0.12657398713272872,-0.11282061058887188,-0.820765430671318
0.5416,0.7176,0.7048,0.7344,0.484,0.2832,0.724,0.2776,0.3264679242860563,0.44543034107946694,-0.4616285766226199,-0.8955086135690329,0.0318575448722414
0.668,0.8512,0.7024,0.8192,0.264,-0.0344,0.7,-0.1392,0.22069772531786136,0.4554858701948351,0.07226711115410916,-0.43828474970637876,0.1552323175511
0.2592,0.5944,0.8736,-0.096,0.8344,-0.2368,0.8688,-0.6424,0.535216438438036,0.16154868883557855,0.5029649240812455,-1.5842083884644158,1.6680314258198892
0.4616,0.5104,0.8504,0.6736,-0.7216,0.4576,0.8288,0.2632,0.44281212083083765,0.21889935994906862,-0.9078201259155276,1.259920026416049,0.48041862587065703
0.7,0.7152,0.7264,0.6696,0.1584,-0.196,0.7272,-0.3096,0.36137475609141184,0.38704139199674137,0.3769897038332936,-0.3643482896045217,0.14676865909323977
0.18,0.5872,0.7408,0.3616,0.7208,-0.4216,0.712,-0.632,0.43377272626032026,0.3986643765153506,0.7599210093867448,-1.6944615282130329,0.5362837539104605
-0.2176,-0.2888,0.6936,-0.0744,0.66,-0.6264,0.7296,-0.6792,0.4360562292654025,0.4290040103262987,2.4867634287472837,-2.3632320693106377,-0.38935985212882834
0.6744,0.6752,0.7096,0.5856,0.1216,-0.1776,0.6672,-0.392,0.44720135771593367,0.473971781194613,0.3592989698153919,-0.20709616967859315,0.38487005512774247
0.5248,0.3392,0.6328,0.1112,-0.3304,-0.6008,0.6288,-0.7,0.45106562511124115,0.6000503704219916,1.279263207740216,0.671646981668216,0.44152301802767135
0.1912,0.0944,0.6792,-0.2792,0.6928,0.6128,0.6992,0.544,0.5771527636483226,0.44616896273138845,-1.7149031193207867,-1.5992828484145034,-0.890230344074794
0.6272,0.6696,0.6448,0.5872,0.1272,-0.3752,0.6848,-0.5136,0.32839743691749057,0.5233129795005794,0.580873768491456,-0.24452402924481847,0.33904847560639634
0.648,0.864,0.64,0.8704,0.0112,-0.2632,0.6616,-0.204,0.13092771944152937,0.5235151244689723,0.36514948533021063,0.017851704515197835,-0.05011682925134318
0.624,0.5992,0.7224,0.5208,-0.3608,0.3496,0.7112,0.4536,0.4562068616570211,0.419833977172088,-0.6620605509945466,0.63556012009316,-0.21248844490977203
0.7184,0.5944,0.7704,-0.1488,-0.2576,0.2088,0.7688,-0.6176,0.5914807808859314,0.3178333081664353,-0.402607068942035,0.3811371342526431,2.638747779687017
0.516,0.84,0.7416,0.7416,-0.5072,-0.0576,0.7208,0.3752,0.2487711421630729,0.41184327308673946,0.11406989448981514,0.9480091784106525,-0.6829852520677804
