errors_global_median,errors_local_median,errors_rot_median
83.09666547492328,29.1833944240935,68.3399008807804
55.712385296000484,9.954405014494094,22.56237514276171
47.25118867464727,5.804389861254075,17.5231890810181
48.263179987884,5.531101204235499,15.099128191952861
44.46192343474575,4.873575123065777,14.619804661858343
44.404527155039275,4.669389051481929,13.386555631498148
39.013456416869865,3.786580296067553,12.809052433858401
49.1214217189204,3.5749058970020675,12.92874454363793
47.51990513755752,3.3638720550780334,12.143381916398859
46.23780492583204,3.599327583465883,11.487215337871348
